symbol,avg_match,best_match,best_pattern
GAU,8.042520115383589,62.030819048548764,WIT
KODK,6.031358790315155,100.0,KODK
BHC,5.044191133352816,52.636142505069046,EFA
CDZI,3.7153535985035973,58.58699503491842,KODK
ABEV,3.5233074440414303,37.048096759743785,KODK
GROY,3.151630160326597,59.88097304620534,GOGO
HLIT,2.9180926188953364,55.44375975901139,INTR
WRN,2.864201935898016,27.829457140796457,PM
AIV,2.532175110372256,48.11132709707286,KODK
MVST,2.3239482376846587,44.155016516008516,KODK
LODE,2.1834208605430616,24.532428323069517,NBIS
HYLN,2.1100586557548136,23.333568476546844,INTR
AGRO,1.9850315820888365,37.715600059687894,INSM
TOVX,1.956861797913297,37.18037416035264,INSM
LYG,1.7610385028027284,33.45973155325184,INTR
IMMR,1.4483408816706143,27.51847675174167,INSM
TALK,1.4032725574996743,18.818091568335234,METC
GLDG,1.3600355913094597,25.840676234879734,METC
MFG,1.348111828135031,25.61412473456559,INTR
GDRX,1.347756950877863,25.6073820666794,INTR
TRUE,1.24951806114642,23.74084316178198,PM
NIU,1.1486117249108163,19.207378199195112,SLV
WORX,0.7985965830497816,15.17333507794585,TRP
BLDP,0.6621607030316236,12.581053357600847,EFA
BARK,0.5329256017134293,10.125586432555156,INSM
TCRX,0.5014604226039605,9.52774802947525,CCL
ZENA,0.48890437048469554,9.289183039209215,INSM
LION,0.3728910316099238,7.084929600588552,RIVN
ORGO,0.31554321211607683,5.99532103020546,METC
TEF,0.29401611316855175,5.586306150202484,PM
CNDT,0.23190214506271983,4.406140756191677,RIVN
UAA,0.19477869006792778,3.7007951112906277,METC
AQN,0.06293338073097239,1.1957342338884756,WIT
HUMA,0.0,0.0,Benf
EUDA,0.0,0.0,Benf
ITUB,0.0,0.0,Benf
LUMN,0.0,0.0,Benf
CRML,0.0,0.0,Benf
RZLT,0.0,0.0,Benf
GGB,0.0,0.0,Benf
ATAI,0.0,0.0,Benf
BB,0.0,0.0,Benf
BTE,0.0,0.0,Benf
NGD,0.0,0.0,Benf
BTCZ,0.0,0.0,Benf
EXK,0.0,0.0,Benf
ALIT,0.0,0.0,Benf
FUBO,0.0,0.0,Benf
UAMY,0.0,0.0,Benf
GOVX,0.0,0.0,Benf
VG,0.0,0.0,Benf
BBD,0.0,0.0,Benf
OPTX,0.0,0.0,Benf
TSDD,0.0,0.0,Benf
TZA,0.0,0.0,Benf
ASTI,0.0,0.0,Benf
RIG,0.0,0.0,Benf
XERS,0.0,0.0,Benf
EVH,0.0,0.0,Benf
OTLK,0.0,0.0,Benf
TMQ,0.0,0.0,Benf
KITT,0.0,0.0,Benf
MVIS,0.0,0.0,Benf
NRGV,0.0,0.0,Benf
PAGS,0.0,0.0,Benf
CRGY,0.0,0.0,Benf
LAR,0.0,0.0,Benf
OGN,0.0,0.0,Benf
PALI,0.0,0.0,Benf
BORR,0.0,0.0,Benf
TGB,0.0,0.0,Benf
AIIO,0.0,0.0,Benf
SRFM,0.0,0.0,Benf
NUAI,0.0,0.0,Benf
ENVX,0.0,0.0,Benf
SES,0.0,0.0,Benf
NXE,0.0,0.0,Benf
SUZ,0.0,0.0,Benf
SOLT,0.0,0.0,Benf
SMRT,0.0,0.0,Benf
INTR,0.0,0.0,Benf
EB,0.0,0.0,Benf
OLPX,0.0,0.0,Benf
VFF,0.0,0.0,Benf
BGC,0.0,0.0,Benf
AXIA,0.0,0.0,Benf
APPS,0.0,0.0,Benf
INTS,0.0,0.0,Benf
CTMX,0.0,0.0,Benf
LPTH,0.0,0.0,Benf
CMPS,0.0,0.0,Benf
AIOT,0.0,0.0,Benf
LX,0.0,0.0,Benf
IPSC,0.0,0.0,Benf
NEOG,0.0,0.0,Benf
GOVZ,0.0,0.0,Benf
FLWS,0.0,0.0,Benf
DAWN,0.0,0.0,Benf
HIBS,0.0,0.0,Benf
GTN,0.0,0.0,Benf
NUKK,0.0,0.0,Benf
EC,0.0,0.0,Benf
DCGO,0.0,0.0,Benf
WWR,0.0,0.0,Benf
LFST,0.0,0.0,Benf
VET,0.0,0.0,Benf
NEWP,0.0,0.0,Benf
DHC,0.0,0.0,Benf
REI,0.0,0.0,Benf
BUR,0.0,0.0,Benf
CDLX,0.0,0.0,Benf
TBLA,0.0,0.0,Benf
VSTM,0.0,0.0,Benf
MGNX,0.0,0.0,Benf
CYBN,0.0,0.0,Benf
CVAC,0.0,0.0,Benf
FBGL,0.0,0.0,Benf
SOPA,0.0,0.0,Benf
IMRX,0.0,0.0,Benf
REKR,0.0,0.0,Benf
AESI,0.0,0.0,Benf
UGP,0.0,0.0,Benf
THRY,0.0,0.0,Benf
DC,0.0,0.0,Benf
SFL,0.0,0.0,Benf
BSBR,0.0,0.0,Benf
PUMP,0.0,0.0,Benf
SITC,0.0,0.0,Benf
XFOR,0.0,0.0,Benf
FIP,0.0,0.0,Benf
GPRE,0.0,0.0,Benf
FINV,0.0,0.0,Benf
ELP,0.0,0.0,Benf
SSP,0.0,0.0,Benf
SSL,0.0,0.0,Benf
FEMY,0.0,0.0,Benf
CMTL,0.0,0.0,Benf
TWI,0.0,0.0,Benf
OEC,0.0,0.0,Benf
ICL,0.0,0.0,Benf
TLS,0.0,0.0,Benf
ACDC,0.0,0.0,Benf
FPI,0.0,0.0,Benf
PLBY,0.0,0.0,Benf
IMMP,0.0,0.0,Benf
GAMB,0.0,0.0,Benf
NMR,0.0,0.0,Benf
LPRO,0.0,0.0,Benf
GSM,0.0,0.0,Benf
NDLS,0.0,0.0,Benf
CURI,0.0,0.0,Benf
ARCO,0.0,0.0,Benf
YYAI,0.0,0.0,Benf
CCRN,0.0,0.0,Benf
FNKO,0.0,0.0,Benf
HAFN,0.0,0.0,Benf
ZOOZ,0.0,0.0,Benf
XFLT,0.0,0.0,Benf
KWM,0.0,0.0,Benf
VCIG,0.0,0.0,Benf
IHS,0.0,0.0,Benf
TEAD,0.0,0.0,Benf
OXSQ,0.0,0.0,Benf
SPWH,0.0,0.0,Benf
TTGT,0.0,0.0,Benf
GRFS,0.0,0.0,Benf
ALLR,0.0,0.0,Benf
NVNO,0.0,0.0,Benf
AVIR,0.0,0.0,Benf
HTLD,0.0,0.0,Benf
PRQR,0.0,0.0,Benf
CMBM,0.0,0.0,Benf
CRNT,0.0,0.0,Benf
SY,0.0,0.0,Benf
LAKE,0.0,0.0,Benf
LPL,0.0,0.0,Benf
TOKE,0.0,0.0,Benf
COOK,0.0,0.0,Benf
ENIC,0.0,0.0,Benf
ILPT,0.0,0.0,Benf
BNZI,0.0,0.0,Benf
CHMI,0.0,0.0,Benf
TGEN,0.0,0.0,Benf
CYCU,0.0,0.0,Benf
DGNX,0.0,0.0,Benf
